url,registrable,url_length,url_entropy,num_subdomains,is_idn,has_repeated_digits,mixed_script,domain_age_days,is_newly_registered,is_very_new,registrar,country,days_until_expiry,is_self_signed,cert_age_days,has_credential_form,form_count,password_fields,email_fields,has_suspicious_forms,suspicious_form_count,keyword_count,html_size,external_links,iframe_count,js_obfuscated,js_keylogger,js_form_manipulation,js_eval_usage,js_risk_score,redirect_count,had_redirects,a_count,mx_count,ns_count,favicon_md5,favicon_sha256,document_text,doc_has_verdict,doc_verdict,doc_risk_score,doc_form_count,doc_submit_buttons,doc_has_login_keywords,doc_has_verify_keywords,doc_has_password_keywords,doc_has_credential_keywords,doc_length,screenshot_phash,ocr_text,ocr_length,ocr_has_login_keywords,ocr_has_verify_keywords
https://kotakbank.com/,kotakbank.com,22,3.6292,0,0,0,0,9999,0,0,,,0,0,999,0,1,0,0,0,0,0,58288,6,0,1,0,0,0,0,4,1,0,0,0,def00c11b1596db4efee6a9fbe64fc27,95c427fa3143b1896faf42a6406686ce7602cb39052081bb32d12b51c9e047e4,"https://kotakbank.com/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: kotakbank.com
URL: https://kotakbank.com/
Registrable Domain: kotakbank.com

🔍 Page Features & Analysis:

   URL Structure:
      Length: 22 chars, Entropy: 3.63
      Subdomains: 0, Hyphens: 0, Special Chars: 0

   📝 Forms Detected:
      Total Forms: 1
      Password Fields: 0
      Email Fields: 0
      Submit Buttons: Search

   📄 Page Content:
      External Links: 6

   ⚠️ JavaScript Behavior:
      🚨 Obfuscated Co",1.0,benign,0.0,1.0,Search,0.0,0.0,0.0,0.0,595.0,,,,,
,yonosbi.sbi,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,," Domain: yonosbi.sbi
Registrable Domain: yonosbi.sbi

📊 Metadata:
   First Seen: 1760452828441",0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,93.0,,,,,
,iciciforexservices.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,," Domain: iciciforexservices.com
Registrable Domain: iciciforexservices.com

📊 Metadata:
   First Seen: 1760452828442",0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,115.0,,,,,
,onlinesbi.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,," Domain: corp.onlinesbi.com
Registrable Domain: onlinesbi.com

📊 Metadata:
   First Seen: 1760452828442",0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,102.0,,,,,
,yesbank.co.in,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,," Domain: netbanking.yesbank.co.in
Registrable Domain: yesbank.co.in

📊 Metadata:
   First Seen: 1760452828442",0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,108.0,,,,,
,viijayabank.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,," Domain: viijayabank.com
Registrable Domain: viijayabank.com

📊 Metadata:
   First Seen: 1760452828444",0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,101.0,,,,,
,corpbank.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,," Domain: corpbank.com
Registrable Domain: corpbank.com

📊 Metadata:
   First Seen: 1760452828445",0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,95.0,,,,,
,syndicatebank.in,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,," Domain: syndicatebank.in
Registrable Domain: syndicatebank.in

📊 Metadata:
   First Seen: 1760452828445",0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,103.0,,,,,
,.nic.in,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,," Domain: nic.in
Registrable Domain: .nic.in

📊 Metadata:
   First Seen: 1760452977696",0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,84.0,,,,,
,pmo.gov.in,0,0.0,0,0,0,0,434,0,0,National Informatics Centre,,295,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,,," 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: pmo.gov.in
Registrable Domain: pmo.gov.in

📡 DNS Records:
   MX (Mail): mx.mailcloud.in, mx3.mailcloud.in, mx2.mailcloud.in
   NS (Nameservers): ns10.nic.in, ns1.nic.in, ns7.nic.in, ns2.nic.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 434 days
   Days Until Expiry: 295

📊 Metadata:
   First Seen: 2025-10-14T14:43:01.895365+00:00
   Processing Stage: rules:benign",1.0,benign,0.0,0.0,,0.0,0.0,0.0,0.0,466.0,,,,,
