registrable,favicon_md5,favicon_sha256
kotakbank.com,def00c11b1596db4efee6a9fbe64fc27,95c427fa3143b1896faf42a6406686ce7602cb39052081bb32d12b51c9e047e4
wipro.com,d343cd8d97bcde522db104f0ebf19044,f4b7fd9b945d0e45a3928a0b4c47103b0577428b3a83aa5450691b86e256ea58
arunachalpradesh.gov.in,6e7210276bfa604d36b610140ca5d507,5a0aa9242e2cbb5a080006271dc08ed369b583ffda880b42b0339e08cfefda13
chandigarh.gov.in,7a4659d14ae75420d3e849fcc95bd378,d66eb44a0888a3f736e3a39cb1baa1ffd0c2fba63670458c5866c15a798eb24d
dnh.gov.in,92ad84f6b8cfafe0bd79051a45fa37ad,7834ca953a4ed77064f85e555cc1cd606fdf472aca6033196db584e2a7e3e40d
assam.gov.in,4f6da84debf8af3f372aa57c54df0574,9aebb9c0c3b5a5267ea73a432c30380c2fe3b9d14d0e2427c7456ad026d1b4d5
fssai.gov.in,fa412c773e732d43e146a9303d5924ff,200f11cd2d09ce8f3d14b21ba3ec6299f97c927203f4300dae8a29eb916fc20c
cert-in.org.in,a445420727d0661026c63aa36191e243,b24d7bdfaf62a932f2e01777e97c8061010d120af3815752123ec27b8536f2d6
irdai.gov.in,bb789a0c0bf3438833f601042be4eb54,678f43adcf805acf1d5b4f3ebc2dd29e27ab23612a4482d05918c69afe5e58da
manipur.gov.in,c014b9153f4f6ee4896933799837a890,d806e8c82228a9b51a69587b6db6be6c27db040a8a8e82717add6ff25539ea4a
meghalaya.gov.in,00c289ba07be371e939aa92a56cc2b7f,3ba88249aab8986e39c1c18ac44cecb4258bb43afd87dea4adde8880df9ae472
maharashtra.gov.in,0e9ce4a6f37609ff5596a60dbc5eed95,c55783871f373fd978f144b1d9a7d01d4002dde65509a95a04256ec167a5c113
newindia.co.in,0f32eda3820269d7311212ce99e5a2be,934e59ecad6ee8cd81294812b250b13e3e24a30d53ff65007933541fd1b38ad3
