url,registrable,text
https://kotakbank.com/,kotakbank.com,"https://kotakbank.com/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: kotakbank.com
URL: https://kotakbank.com/
Registrable Domain: kotakbank.com

🔍 Page Features & Analysis:

   URL Structure:
      Length: 22 chars, Entropy: 3.63
      Subdomains: 0, Hyphens: 0, Special Chars: 0

   📝 Forms Detected:
      Total Forms: 1
      Password Fields: 0
      Email Fields: 0
      Submit Buttons: Search

   📄 Page Content:
      External Links: 6

   ⚠️ JavaScript Behavior:
      🚨 Obfuscated Co"
,yonosbi.sbi," Domain: yonosbi.sbi
Registrable Domain: yonosbi.sbi

📊 Metadata:
   First Seen: 1760452828441"
,iciciforexservices.com," Domain: iciciforexservices.com
Registrable Domain: iciciforexservices.com

📊 Metadata:
   First Seen: 1760452828442"
,onlinesbi.com," Domain: corp.onlinesbi.com
Registrable Domain: onlinesbi.com

📊 Metadata:
   First Seen: 1760452828442"
,yesbank.co.in," Domain: netbanking.yesbank.co.in
Registrable Domain: yesbank.co.in

📊 Metadata:
   First Seen: 1760452828442"
,viijayabank.com," Domain: viijayabank.com
Registrable Domain: viijayabank.com

📊 Metadata:
   First Seen: 1760452828444"
,corpbank.com," Domain: corpbank.com
Registrable Domain: corpbank.com

📊 Metadata:
   First Seen: 1760452828445"
,syndicatebank.in," Domain: syndicatebank.in
Registrable Domain: syndicatebank.in

📊 Metadata:
   First Seen: 1760452828445"
,.nic.in," Domain: nic.in
Registrable Domain: .nic.in

📊 Metadata:
   First Seen: 1760452977696"
,pmo.gov.in," 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: pmo.gov.in
Registrable Domain: pmo.gov.in

📡 DNS Records:
   MX (Mail): mx.mailcloud.in, mx3.mailcloud.in, mx2.mailcloud.in
   NS (Nameservers): ns10.nic.in, ns1.nic.in, ns7.nic.in, ns2.nic.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 434 days
   Days Until Expiry: 295

📊 Metadata:
   First Seen: 2025-10-14T14:43:01.895365+00:00
   Processing Stage: rules:benign"
,incometax.gov.in," Domain: incometax.gov.in
Registrable Domain: incometax.gov.in

📊 Metadata:
   First Seen: 1760452966638"
,vi.in," Domain: vi.in
Registrable Domain: vi.in

📊 Metadata:
   First Seen: 1760452828447"
,passportindia.gov.in," Domain: passportindia.gov.in
Registrable Domain: passportindia.gov.in

📊 Metadata:
   First Seen: 1760452979686"
,nseindia.com," 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: nseindia.com
Registrable Domain: nseindia.com

📡 DNS Records:
   A (IPv4): 23.55.244.169, 23.55.244.163
   NS (Nameservers): asia3.akam.net, ns1-120.akam.net, ns1-205.akam.net, eur2.akam.net, eur5.akam.net, use1.akam.net, use9.akam.net, usw4.akam.net

📋 WHOIS Information:
   Registrar: BigRock Solutions Ltd
   Domain Age: 9920 days
   Days Until Expiry: 2862

🌍 Network & Location:
   ASN: 20940
   Country: IN, Mumbai

📊 Metadata:
   First See"
,coalindia.in," Domain: coalindia.in
Registrable Domain: coalindia.in

📊 Metadata:
   First Seen: 1760452931940"
,isro.gov.in," Domain: isro.gov.in
Registrable Domain: isro.gov.in

📊 Metadata:
   First Seen: 1760452959960"
,upi.org.in," 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: upi.org.in
Registrable Domain: upi.org.in

📡 DNS Records:

📋 WHOIS Information:
   Registrar: HIOX SOFTWARES PRIVATE LIMITED
   Domain Age: 489 days
   Days Until Expiry: 240

📊 Metadata:
   First Seen: 2025-10-14T14:43:21.500509+00:00
   Processing Stage: rules:benign"
,bbps.org.in," Domain: bbps.org.in
Registrable Domain: bbps.org.in

📊 Metadata:
   First Seen: 1760452978441"
,india.gov.in," Domain: india.gov.in
Registrable Domain: india.gov.in

📊 Metadata:
   First Seen: 1760452972967"
,redbus.in," Domain: redbus.in
Registrable Domain: redbus.in

📊 Metadata:
   First Seen: 1760452828453"
,zomato.com," Domain: zomato.com
Registrable Domain: zomato.com

📊 Metadata:
   First Seen: 1760452828453"
,airindia.co.in," Domain: airindia.co.in
Registrable Domain: airindia.co.in

📊 Metadata:
   First Seen: 1760452828453"
,makemytrip.com," Domain: makemytrip.com
Registrable Domain: makemytrip.com

📊 Metadata:
   First Seen: 1760452828453"
,goibibo.com," Domain: goibibo.com
Registrable Domain: goibibo.com

📊 Metadata:
   First Seen: 1760452828453"
