registrable,url,url_length,url_entropy,num_subdomains,is_idn,has_repeated_digits,mixed_script,domain_age_days,is_newly_registered,is_very_new,days_until_expiry,is_self_signed,cert_age_days,has_credential_form,form_count,password_fields,email_fields,has_suspicious_forms,suspicious_form_count,html_size,external_links,iframe_count,js_obfuscated,js_keylogger,js_form_manipulation,js_eval_usage,js_risk_score,redirect_count,had_redirects,a_count,mx_count,ns_count,doc_has_verdict,doc_risk_score,doc_form_count,doc_has_login_keywords,doc_has_verify_keywords,doc_has_password_keywords,doc_has_credential_keywords,doc_length,ocr_length,ocr_has_login_keywords,ocr_has_verify_keywords
recindia.nic.in,https://recindia.nic.in/,24,3.6054,1,0,0,0,7603,0,0,66,0,0,0,2,0,0,0,0,79488,87,0,0,0,0,0,0,79,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sjvn.nic.in,https://sjvn.nic.in/,20,3.4464,1,0,0,0,7603,0,0,66,0,0,0,0,0,0,0,0,141171,60,0,0,0,0,0,0,257,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
thdc.co.in,https://thdc.co.in/,19,3.4316,1,0,0,0,3417,0,0,599,0,0,0,1,0,0,0,0,135791,31,0,1,0,0,0,0,230,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0
neepco.co.in,https://neepco.co.in/hi,23,3.5342,1,0,0,0,3465,0,0,2743,0,0,0,1,0,0,0,0,128298,47,1,1,0,1,0,10,152,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0
npcil.nic.in,https://www.npcil.nic.in/Content/Hindi/index.aspx,49,3.9355,2,0,0,0,7603,0,0,66,0,0,0,1,0,0,0,0,121893,39,0,0,0,1,0,10,51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sldcdelhi.org,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bharatpetroleum.in,https://www.bharatpetroleum.in/,31,4.0023,1,0,0,0,7549,0,0,485,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ongcindia.com,https://www.ongcindia.com/,26,3.8731,1,0,0,0,10295,0,0,1026,0,0,0,0,0,0,0,0,39108,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
npci.org.in,https://www.npci.org.in/,24,3.6573,2,0,0,0,6099,0,0,1205,0,0,0,0,0,0,0,0,62522,29,3,1,0,0,0,20,62,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
gailonline.com,https://gailonline.com/,23,3.882,0,0,0,0,8045,0,0,355,0,0,0,2,0,0,0,0,102811,248,0,0,0,0,0,0,82,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
