ns_count,mx_count,inactive_status,is_inactive,has_features,redirect_count,a_count,ocr_length,ocr_has_login_keywords,ocr_has_verify_keywords,doc_length,doc_form_count,doc_has_login_keywords,doc_has_verify_keywords,doc_has_password_keywords,doc_has_credential_keywords,url_length,domain_length,registrable_length,dot_count,dash_count,underscore_count,at_count,slash_count,question_count,equal_count,ampersand_count,digit_count,subdomain_depth,has_subdomain,subdomain_length,subdomain_has_digits,subdomain_has_hyphen,tld_length,is_high_risk_tld,is_trusted_tld,is_numeric_tld,path_length,path_depth,has_query,query_length,query_param_count,path_has_phishing_keyword,url_entropy,domain_entropy,is_idn,has_homograph,has_cse_keyword,has_typo_pattern,has_suspicious_hyphen,url_has_phishing_keyword,is_ip_address,has_custom_port,is_very_new,domain_age_days,days_until_expiry,is_newly_registered,form_count,js_keylogger,js_redirect_detected,js_eval_usage,num_hyphens,js_obfuscated_count,html_size,domain_hyphens,num_subdomains,forms_to_ip,trusted_issuer,path_has_fragment,mixed_script,js_risk_score,password_fields,domain_mismatch,external_scripts,iframe_count,path_has_query,is_self_signed,js_form_manipulation,uses_https,has_suspicious_forms,num_underscores,num_slashes,has_repeated_digits,forms_to_suspicious_tld,subdomain_entropy,external_stylesheets,has_credential_form,suspicious_form_count,forms_to_private_ip,email_fields,num_dots,js_obfuscated,js_encoding_count,avg_subdomain_length,external_links,js_eval_count,images_count,favicon_size,keyword_count
0.0,0.0,4.0,1.0,1,0,0.0,0,0,0,0,0,0,0,0,0,215,59,13,4,0,1,0,1,0,0,0,17,1,1,17,0,0,8,0,0,0,146,1,0,0,0,0,5.125957910627408,4.2241943810234615,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0,1.0,1,0,2.0,0,0,0,0,0,0,0,0,0,574,81,24,19,0,1,0,3,0,0,1,85,3,1,55,0,0,8,0,0,0,473,3,0,0,0,0,5.250718540770977,4.099143682838836,0,0,0,1,0,0,0,1,0.0,3474.0,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0,1.0,1,0,2.0,0,0,0,0,0,0,0,0,0,518,61,14,18,0,1,0,1,0,0,1,81,3,1,45,0,0,7,0,0,0,437,1,0,0,0,0,5.2702151385870994,4.184092461431995,0,0,1,1,0,0,0,1,0.0,7549.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0,1.0,1,0,1.0,0,0,0,0,0,0,0,0,0,391,63,15,13,0,1,0,1,0,0,1,38,5,1,51,0,0,11,0,0,0,310,1,0,0,0,0,5.1715524477557,4.122231964125024,0,0,1,1,0,0,0,1,0.0,7841.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,4.0,1.0,1,0,1.0,0,0,0,0,0,0,0,0,0,444,57,12,16,0,1,0,1,0,0,1,40,3,1,45,0,0,11,0,0,0,368,1,0,0,0,0,5.112741301144341,4.0603362871532065,0,0,1,0,0,0,0,1,0.0,3222.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1,0,2.0,0,0,0,214,0,0,0,0,0,536,77,22,17,0,1,0,1,0,0,1,84,3,1,53,0,0,7,0,0,0,439,1,0,0,0,0,5.315374990178409,4.271683827152284,0,0,0,1,0,0,0,1,0.0,7549.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1,226,0.0,0,0,0,18390,1,0,0,0,0,757,32,11,10,2,1,0,7,0,0,1,57,0,0,0,0,0,32,0,0,0,694,6,0,0,0,1,5.094317114792653,4.3246987351738495,1,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,428361.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,23.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,1.585,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,776.0,0.0,283.0,230649.0,0.0
0.0,0.0,0.0,0.0,1,79,1.0,0,0,0,3140,2,0,0,0,0,399,63,15,10,0,1,0,1,0,0,1,39,3,1,51,0,0,11,0,0,0,318,1,0,0,0,0,5.121796399308135,3.8883494024420586,0,0,0,0,0,0,0,1,0.0,7603.0,66.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,79559.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.75,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,87.0,0.0,81.0,9384.0,0.0
0.0,1.0,0.0,0.0,1,205,1.0,0,0,0,12960,0,0,1,0,0,409,55,11,12,0,1,0,1,0,0,1,40,3,1,43,0,0,11,0,0,0,335,1,0,0,0,0,5.161976645087295,4.114258177675368,0,0,0,0,0,0,0,1,0.0,7603.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141565.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,60.0,0.0,104.0,1406.0,0.0
4.0,0.0,0.0,0.0,1,82,1.0,0,0,0,8047,2,0,1,0,0,472,61,14,17,0,1,0,3,0,0,1,46,1,1,18,0,0,8,0,0,0,392,3,0,0,0,0,5.153506942017564,4.0054597245100325,0,0,1,0,0,0,0,1,0.0,8045.0,355.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,102811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,248.0,0.0,47.0,1150.0,1.0
