cse_id,seed_registrable
SBI,sbi.co.in
SBI,sbicard.com
SBI,yonobusiness.sbi
SBI,sbiepay.sbi
SBI,sbilife.co.in
ICICI,icicibank.com
ICICI,icicicareers.com
ICICI,icicidirect.com
ICICI,icicilombard.com
ICICI,iciciprulicfe.com
HDFC,hdfcbank.com
HDFC,hdfc.com
HDFC,hdfcergo.com
HDFC,hdfclife.com
PNB,pnbindia.in
PNB,netpnb.com
BOB,bankofbaroda.in
BOB,bobibanking.com
NIC,nic.gov.in
NIC,email.gov.in
NIC,kavach.mail.gov.in
NIC,accounts.mgovcloud.in
RGCCI,dc.crsorgi.gov.in
IRCTC,irctc.co.in
IRCTC,irctc.com
AIRTEL,airtel.in
AIRTEL,airtel.com
IOCL,iocl.com
